id,title,year,categories,abstract,pdf_url,download_status,matched_terms,match_score,pdf_path
1611.00969v1,Structural and electrical properties of electrodeposited single junction of cuprous (I) oxide copper,2016,cond-mat.mtrl-sci,"cuprous (i) oxide (cu_{2}o) based solar cells were fabricated with the use of
the electrodeposition technique at nanometre scale, and the structural,
morphological and electrical properties were inves...",http://arxiv.org/pdf/1611.00969v1,Downloaded (550.72 KB),"deposition, copper, electrodeposition, cu",25,pdfs/1611.00969v1.pdf
2502.05809v2,Achieving electrode smoothing by controlling the nucleation phase of metal deposition through polymer-substrate binding,2025,cond-mat.mtrl-sci,"polymer additives [like polyethylene oxide (peo)] are widely used for smooth
electrode deposition in aqueous zinc and a number of other battery systems
currently investigated for energy storage applic...",http://arxiv.org/pdf/2502.05809v2,Downloaded (28610.60 KB),"deposition, copper, electrodeposition, battery, cu, cu substrate",38,pdfs/2502.05809v2.pdf
1609.00597v1,Influence of Cu deposition potential on the giant magnetoresistance and surface roughness of electrodeposited Ni-Co/Cu multilayers,2016,cond-mat.mtrl-sci,"it has been shown previously for electrodeposited co/cu multilayers that the
single-bath electrodeposition process can be optimized from an electrochemical
point of view in order to avoid unwanted co ...",http://arxiv.org/pdf/1609.00597v1,Downloaded (555.61 KB),"deposition, electrodeposition, cu",19,pdfs/1609.00597v1.pdf
1008.3542v1,The Atomic-scale Growth of Large-Area Monolayer Graphene on Single-Crystal Copper Substrates,2010,cond-mat.mes-hall,"we study the growth and microscopic structure of large-area graphene
monolayers, grown on copper single crystals by chemical vapor deposition (cvd)
in ultra-high vacuum (uhv). using atomic-resolution ...",http://arxiv.org/pdf/1008.3542v1,Downloaded (2269.55 KB),"deposition, copper, cu",19,pdfs/1008.3542v1.pdf
2208.04089v1,The mechanism of Li deposition on the Cu substrates in the anode-free Li metal batteries,2022,cond-mat.mtrl-sci,"due to the rapid growth in the demand for high-energy-density li batteries
and insufficient global li reserves, the anode-free li metal batteries are
receiving increasing attention. various strategies...",http://arxiv.org/pdf/2208.04089v1,Downloaded (2119.27 KB),"deposition, cu, cu substrate",19,pdfs/2208.04089v1.pdf
1704.05105v1,Structure and Giant Magnetoresistance of Electrodeposited Co/Cu Multilayers Prepared by Two-Pulse (G/P) and Three-Pulse (G/P/G) Plating,2017,cond-mat.mtrl-sci,"the giant magnetoresistance (gmr) was investigated for electrodeposited co/cu
multilayers. in order to better understand the formation of individual layers
and their influence on gmr, multilayers prod...",http://arxiv.org/pdf/1704.05105v1,Downloaded (711.69 KB),"deposition, cu",12,pdfs/1704.05105v1.pdf
0902.1672v1,Reverse depth profiling of electrodeposited Co/Cu multilayers by SNMS,2009,cond-mat.mtrl-sci,"the overall quality of multilayer thin films prepared by electrodeposition is
strongly influenced by the surface and interface roughness which increases with
the layer number. for that very reason the...",http://arxiv.org/pdf/0902.1672v1,Downloaded (46.97 KB),"deposition, electrodeposition, cu, cu substrate",25,pdfs/0902.1672v1.pdf
1308.6455v1,Vacuum nanogap formation in multilayer structures by an adhesion-controlled process,2013,cond-mat.mes-hall,"in this study, we regulate adhesion between thin metal films to produce a
large-area vacuum nanogap for electron tunneling. multilayer structures
comprising thin metal films with adjustable adhesion w...",http://arxiv.org/pdf/1308.6455v1,Downloaded (709.38 KB),"electroplating, cu",12,pdfs/1308.6455v1.pdf
1610.05631v1,"Preparation, structure and giant magnetoresistance of electrodeposited Fe Co/Cu multilayers",2016,cond-mat.mtrl-sci,"no systematic studies have been carried out on the giant magnetoresistance
(gmr) of electrodeposited (ed) fe-co/cu multilayers since the elaboration of a
method for the optimization of the cu layer de...",http://arxiv.org/pdf/1610.05631v1,Downloaded (749.74 KB),"deposition, cu",12,pdfs/1610.05631v1.pdf
2408.00660v1,Droplet-confined electroplating for nanoscale additive manufacturing: current control of the initial stages of the growth of copper nanowires,2024,"cond-mat.mtrl-sci, cond-mat.mes-hall","droplet-confined electrodeposition enables a precise deposition of three
dimensional, nanoscopic and high purity metal structures. it aspires to
fabricate intricate microelectronic devices, metamateri...",http://arxiv.org/pdf/2408.00660v1,Downloaded (46022.45 KB),"deposition, copper, electrodeposition, electroplating, cu",31,pdfs/2408.00660v1.pdf
2309.12824v1,"Direct in- and out-of-plane writing of metals on insulators by electron-beam-enabled, confined electrodeposition with submicrometer feature size",2023,"physics.app-ph, cond-mat.mtrl-sci","additive microfabrication processes based on localized electroplating enable
the one-step deposition of micro-scale metal structures with outstanding
performance, e.g. high electrical conductivity and...",http://arxiv.org/pdf/2309.12824v1,Downloaded (18599.29 KB),"deposition, copper, electrodeposition, electroplating, cu",31,pdfs/2309.12824v1.pdf
1806.09109v1,Copper underpotential deposition on boron nitride nanomesh,2018,"cond-mat.mtrl-sci, physics.app-ph","the boron nitride nanomesh is a corrugated monolayer of hexagonal boron
nitride (h-bn) on rh(111), which so far has been studied mostly under ultrahigh
vacuum conditions. here, we investigate how copp...",http://arxiv.org/pdf/1806.09109v1,Downloaded (613.68 KB),"deposition, copper, electrodeposition, cu",25,pdfs/1806.09109v1.pdf
2505.04198v1,A Predictive Theory of Electrochemical Ostwald Ripening for Electrodeposited Lithium Metal,2025,"cond-mat.mtrl-sci, cond-mat.soft, physics.chem-ph","in this work, we present a theoretical framework that describes the evolution
of lithium nuclei under the competing effects of electroplating and surface
energy-driven redistribution (electrochemical ...",http://arxiv.org/pdf/2505.04198v1,Downloaded (2621.19 KB),"lithium, deposition, electrodeposition, electroplating, battery, cu",38,pdfs/2505.04198v1.pdf
0807.2974v3,Electroplating of conformal electrodes for vacuum nanogap tunnel junction,2008,cond-mat.mes-hall,"in this study, we electroplate cu electrode on si substrate to realize a
large-area vacuum nanogap for electron tunneling. we used cathode coating,
cathode rotation, asymmetric current regime, and ele...",http://arxiv.org/pdf/0807.2974v3,Downloaded (763.23 KB),"electroplating, cu",12,pdfs/0807.2974v3.pdf
2302.10232v1,Moss-like growth of metal electrodes: On the role of competing faradaic reactions and fast-charging,2023,cond-mat.mtrl-sci,"uncontrolled crystal growth during electroreduction of reactive metals in
liquid electrolytes produces porous, low-density, mossy metal deposits that
grow primarily along the surface normal vector to ...",http://arxiv.org/pdf/2302.10232v1,Downloaded (3532.15 KB),"deposition, electrodeposition, electroplating, cu",25,pdfs/2302.10232v1.pdf
