id,title,year,categories,abstract,pdf_url,download_status,matched_terms,match_score,pdf_path
2505.04198v1,A Predictive Theory of Electrochemical Ostwald Ripening for Electrodeposited Lithium Metal,2025,"cond-mat.mtrl-sci, cond-mat.soft, physics.chem-ph","in this work, we present a theoretical framework that describes the evolution
of lithium nuclei under the competing effects of electroplating and surface
energy-driven redistribution (electrochemical ostwald ripening). our model
introduces a formulation that accounts for solid electrolyte interphase (sei)
resistance, electrolyte conductivity, and electrode wettability, capturing the
transition from sei to electrolyte-limited growth regimes. we identify
asymptotic behaviors for high and low current densities, quantify the
conditions under which ripening dominates, and derive analytical expressions
for nucleus size, density, and surface coverage. model predictions show
excellent agreement with experimental data across multiple datasets. the
results reveal how sei and electrolyte conductivity, current density and
metal-electrode contact angle govern deposition morphology and coulombic
efficiency. based on these insights, we outline experimentally accessible
guidelines to improve battery efficiency and cycling stability - offering a
simple yet predictive approach for optimizing metal electrodeposition processes
in battery systems and beyond.",http://arxiv.org/pdf/2505.04198v1,Downloaded (2621.19 KB),"battery, lithium, cu, deposition, electrodeposition, electroplating",75,pdfs/2505.04198v1.pdf
2408.00660v1,Droplet-confined electroplating for nanoscale additive manufacturing: current control of the initial stages of the growth of copper nanowires,2024,"cond-mat.mtrl-sci, cond-mat.mes-hall","droplet-confined electrodeposition enables a precise deposition of three
dimensional, nanoscopic and high purity metal structures. it aspires to
fabricate intricate microelectronic devices, metamaterials, plasmonic
structures and functionalized surfaces. yet, a major handicap of
droplet-confined electrodeposition is the current lack of control over the
process, which is owed to its dynamic nature and the nanoscopic size of the
involved droplets. the deposition current offers itself as an obvious and
real-time window into the deposition. therefore, the current during
droplet-confined deposition is analysed. nucleation and growth dynamics are
evaluated systematically. our results indicate different deposition regimes and
link current to both volume and morphology of deposited copper. this allows for
optimized electroplating strategies and to calibrate the slicing algorithms
necessary for a controlled deposition of 3d structures. the potential of
selecting appropriate solvents further readies this novel technique for the
reliable deposition of functional structures with submicron resolution.",http://arxiv.org/pdf/2408.00660v1,Downloaded (46022.45 KB),"cu, deposition, electrodeposition, electroplating, copper",62,pdfs/2408.00660v1.pdf
2306.09522v1,Pressure-Induced Detour of Li$^+$ Transport during Large-Scale Electroplating of Lithium in High-Energy Lithium Metal Pouch Cells,2023,"physics.chem-ph, cond-mat.mtrl-sci","externally applied pressure impacts the performance of batteries particularly
in those undergoing large volume changes, such as lithium metal batteries. in
particular, the li$^+$ electroplating process in large format pouch cells
occurs at a larger dimension compared to those in smaller lab-scale cells. a
fundamental linkage between external pressure and large format electroplating
of li$^+$ remains missing but yet critically needed to understand the
electrochemical behavior of li$^+$ in practical batteries. herein, this work
utilizes 350 wh/kg lithium metal pouch cell as a model system to study the
electroplating of li$^+$ ions and the impact of external pressure. the
vertically applied uniaxial pressure on the batteries using liquid electrolyte
profoundly affects the electroplating process of li$^+$ which is well reflected
by the self-generated pressures in the cell and can be correlated to battery
cycling stability. taking advantage of both constant gap and pressure
application, all li metal pouch cells demonstrated minimum swelling of 6-8%
after 300 cycles, comparable to that of state-of-the-art li-ion batteries.
along the horizontal directions, the pressure distributed across the surface of
li metal pouch cell reveals a unique phenomenon of li$^+$ migration during the
electroplating (charge) process driven by an uneven distribution of external
pressure across the large electrode area, leading to a preferred li plating in
the center area of li metal anode. this work addresses a longstanding question
and provides new fundamental insights on large format electrochemical plating
of li which will inspire more innovations and lead to homogeneous deposition of
li to advance rechargeable lithium metal battery technology.",http://arxiv.org/pdf/2306.09522v1,Downloaded (1362.19 KB),"battery, lithium, cu, deposition, electroplating",62,pdfs/2306.09522v1.pdf
1404.6177v1,Stable Lithium Electrodeposition in Liquid and Nanoporous Solid Electrolytes,2014,cond-mat.mtrl-sci,"rechargeable lithium, sodium, and aluminum metal-based batteries are among
the most versatile platform for high-energy, cost effective electrochemical
energy storage. non-uniform metal deposition and dendrite formation on the
negative electrode during repeated cycles of charge and discharge are major
hurdles to commercialization of energy storage devices based on each of these
chemistries. a long held view is that unstable electrodeposition is a
consequence of inherent characteristics of these metals and their inability to
form uniform electrodeposits on surfaces with inevitable defects. we report on
electrodeposition of lithium in simple liquid electrolytes and in nanoporous
solids infused with liquid electrolytes. we find that simple liquid
electrolytes reinforced with halogenated salt blends exhibit stable long-term
cycling at room temperature, often with no signs of deposition instabilities
over hundreds of cycles of charge and discharge and thousands of operating
hours. we rationalize these observations with the help of surface energy data
for the electrolyte/lithium interface and impedance analysis of the interface
during different stages of cell operation. our findings provide support for an
important recent theoretical prediction that the surface mobility of lithium is
significantly enhanced in the presence of lithium halide salts.",http://arxiv.org/pdf/1404.6177v1,Downloaded (4361.39 KB),"lithium, deposition, electrodeposition",38,pdfs/1404.6177v1.pdf
2307.06475v2,in situ Monitoring of Lithium Electrodeposition using Transient Grating Spectroscopy,2023,physics.app-ph,"the mechanisms of lithium electrodeposition, which overwhelmingly affect
lithium metal battery performance and safety, remain insufficiently understood
due to its electrochemical complexity. novel, non-destructive and in situ
techniques to probe electrochemical interfaces during lithium electrodeposition
are highly desirable. in this work, we demonstrate the capability of transient
grating spectroscopy to monitor lithium electrodeposition at the micrometer
scale by generating and detecting surface acoustic waves that sensitively
interact with the deposited lithium. specifically, we show that the evolution
of the frequency, velocity and damping rate of the surface acoustic waves
strongly correlate with the lithium nucleation and growth process. our work
illustrates the sensitivity of high-frequency surface acoustic waves to
micrometer scale changes in electrochemical cells and establishes transient
grating spectroscopy as a versatile platform for future in situ investigation
of electrochemical inte",http://arxiv.org/pdf/2307.06475v2,Downloaded (5032.07 KB),"battery, lithium, deposition, electrodeposition",50,pdfs/2307.06475v2.pdf
2001.01236v1,Strain gradient drives lithium dendrite growth from the atomic-scale simulations,2020,cond-mat.mtrl-sci,"dendrite formation is a major obstacle, such as capacity loss and short
circuit, to the next-generation high-energy-density lithium (li) metal
batteries. the development of successful li dendrite mitigation strategies is
impeded by an insufficient understanding of li dendrite growth mechanisms.
li-plating-induced internal stress in li metal and its effect on dendrite
growth have been studied in previous models and experiments, while the
underlying microcosmic mechanism is elusive. here, we analyze the role of
plating-induced stress in dendrite formation through first-principles
calculations and ab initio molecular dynamics simulations. we show that the
deposited li forms a stable atomic nanofilm structure on copper (cu) substrate.
it is found that the adsorption energy of li atoms increases from the li-cu
interface to deposited li surface, leading to more aggregated li atoms at the
interface. compared to the pristine li metal, the deposited li in the early
stage becomes compacted and suffers in-plane compressive stress. interestingly,
we find that there is a giant strain gradient distribution from the li-cu
interface to deposited li surface, which makes the deposited atoms adjacent to
the cu surface tend to press upwards with perturbation, causing the dendrite
growth. this understanding provides an insight to the atomic-scale origin of li
dendrite growth and may be useful for suppressing the li dendrite in the
li-metal-based rechargeable batteries.",http://arxiv.org/pdf/2001.01236v1,Downloaded (1518.53 KB),"lithium, cu, copper",38,pdfs/2001.01236v1.pdf
2302.10232v1,Moss-like growth of metal electrodes: On the role of competing faradaic reactions and fast-charging,2023,cond-mat.mtrl-sci,"uncontrolled crystal growth during electroreduction of reactive metals in
liquid electrolytes produces porous, low-density, mossy metal deposits that
grow primarily along the surface normal vector to a planar electrode substrate.
the moss-like deposits are fragile and cause premature failure of batteries by
chemical, physical, and mechanical pathways. here we use electroanalytical
rotating-disk electrode (rde) studies in a three-electrode electrochemical cell
to elucidate the fundamental origin of moss-like growth of metals. we report
that competing faradaic reactions occurring on the electrode surface is the
source of the phenomenon. on this basis, we conclude that a moss-like growth
regime can be accessed during electrodeposition of any metal by subtle shifts
in electrolyte chemistry and deposition rate. specifically, for zn, a metal
that conventionally is not known to form moss-like electrodeposits, obvious
moss-like deposition patterns emerge at low-current densities in
strongly-alkaline electrolytes that undergo electroreduction to form an
interphase on the electrodeposited zn. conversely, we find that under
conditions where the rate of metal electroplating is large relative to that of
other competing faradaic reactions, it is possible to eliminate the mossy-like
growth regime for zn. taken together, our findings open up a new approach for
simultaneously achieving favorable metal deposition morphology and fast
charging in next-generation batteries using metal anodes.",http://arxiv.org/pdf/2302.10232v1,Downloaded (3532.15 KB),"cu, deposition, electrodeposition, electroplating",50,pdfs/2302.10232v1.pdf
2502.05809v2,Achieving electrode smoothing by controlling the nucleation phase of metal deposition through polymer-substrate binding,2025,cond-mat.mtrl-sci,"polymer additives [like polyethylene oxide (peo)] are widely used for smooth
electrode deposition in aqueous zinc and a number of other battery systems
currently investigated for energy storage applications. however, the precise
mechanism by which they regulate morphology and suppress dendrite formation
remains unclear. in this study, we address this knowledge gap by using in-situ
electrochemical atomic force microscopy (ec-afm) to directly observe the
interfacial evolution during zn electrodeposition and polymer adsorption on
copper (cu) substrates in the presence of varying concentrations of znso4 and
peo. contrary to previous literature assumptions which emphasize the binding to
the growing zn crystal surfaces or zn2+ ions, our results demonstrate that peo
smooths zn films by promoting nucleation of (002)-oriented zn platelets through
interactions with the cu substrate. density functional theory (dft) simulations
support this finding by showing that peo adsorption on cu modifies the
interfacial energy of zn/cu/electrolyte interfaces, favoring the stabilization
of zn (002) on the cu substrate, as well as confines zn electrodeposition to a
narrow near-surface region. these findings elucidate a novel design principle
for electrode smoothing, emphasizing the importance of substrate selection
paired with polymer additives that exhibit an attractive interaction with the
substrate, but minimal interaction with growing crystals, offering a
mechanistic perspective for improved battery performance.",http://arxiv.org/pdf/2502.05809v2,Downloaded (28610.60 KB),"battery, cu, deposition, electrodeposition, copper",62,pdfs/2502.05809v2.pdf
2309.12824v1,"Direct in- and out-of-plane writing of metals on insulators by electron-beam-enabled, confined electrodeposition with submicrometer feature size",2023,"physics.app-ph, cond-mat.mtrl-sci","additive microfabrication processes based on localized electroplating enable
the one-step deposition of micro-scale metal structures with outstanding
performance, e.g. high electrical conductivity and mechanical strength. they
are therefore evaluated as an exciting and enabling addition to the existing
repertoire of microfabrication technologies. yet, electrochemical processes are
generally restricted to conductive or semiconductive substrates, precluding
their application in the manufacturing of functional electric devices where
direct deposition onto insulators is often required. here, we demonstrate the
direct, localized electrodeposition of copper on a variety of insulating
substrates, namely al2o3, glass and flexible polyethylene, enabled by
electron-beam-induced reduction in a highly confined liquid electrolyte
reservoir. the nanometer-size of the electrolyte reservoir, fed by
electrohydrodynamic ejection, enables a minimal feature size on the order of
200 nm. the fact that the transient reservoir is established and stabilized by
electrohydrodynamic ejection rather than specialized liquid cells could offer
greater flexibility towards deposition on arbitrary substrate geometries and
materials. installed in a low-vacuum scanning electron microscope, the setup
further allows for operando, nanoscale observation and analysis of the
manufacturing process.",http://arxiv.org/pdf/2309.12824v1,Downloaded (18599.29 KB),"cu, deposition, electrodeposition, electroplating, copper",62,pdfs/2309.12824v1.pdf
1611.00969v1,Structural and electrical properties of electrodeposited single junction of cuprous (I) oxide copper,2016,cond-mat.mtrl-sci,"cuprous (i) oxide (cu_{2}o) based solar cells were fabricated with the use of
the electrodeposition technique at nanometre scale, and the structural,
morphological and electrical properties were investigated. the cu_{2}o layers
were electrodeposited on crystalline and polycrystalline copper substrates. to
complete the cu_{2}o/cu(100) and cu_{2}o/cu interfaces as the solar cells the
top electrodes of silver paste were painted on the rear of cu_{2}o. the
theoretical analysis of the current voltage curve was provided to determine the
values of electrical parameters of the most efficient solar cell of
ag/cu_{2}o/cu(100) and clearly indicate presence of two schottky barriers at
interfaces.",http://arxiv.org/pdf/1611.00969v1,Downloaded (550.72 KB),"cu, deposition, electrodeposition, copper",50,pdfs/1611.00969v1.pdf
